param_count,model_size_mb,flops,params,training_memory_mb
5519616,21.0556640625,10551226112,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'tanh', 'pool_size_0': 4, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'relu', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.00015668930354466952}",9284.5830078125
1368320,5.2197265625,3206139648,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'relu', 'pool_size_0': 3, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'none', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.006370745722116046}",9262.2392578125
6477156,24.708389282226562,12991917924,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'elu', 'pool_size_0': 4, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'none', 'pool_size_1': 1, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 100, 'dense_0_dropout': 0.2, 'dense_0_act': 'sigmoid', 'learning_rate': 0.00014095251680613843}",9174.340393066406
661979,2.525249481201172,419176155,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 475, 'dense_0_dropout': 0.1, 'dense_0_act': 'elu', 'learning_rate': 0.00015565019660102855}",9086.180587768555
636098,2.4265213012695312,460073030,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 450, 'dense_0_dropout': 0.0, 'dense_0_act': 'silu', 'learning_rate': 0.0034636062863681325}",9085.529327392578
541328,2.06500244140625,214184880,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 400, 'dense_0_dropout': 0.1, 'dense_0_act': 'silu', 'learning_rate': 0.006761941295648151}",9084.229736328125
509303,1.9428367614746094,210024055,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 375, 'dense_0_dropout': 0.1, 'dense_0_act': 'sigmoid', 'learning_rate': 0.0001515055336861823}",9083.704452514648
343034,1.3085708618164062,181031930,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'gelu', 'pool_size_0': 1, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 250, 'dense_0_dropout': 0.5, 'dense_0_act': 'none', 'learning_rate': 0.0005543669081949594}",9080.862213134766
309504,1.1806640625,357043968,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 7, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0002613159961221323}",9080.1064453125
303360,1.1572265625,307891968,"{'num_conv_layers': 1, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 1, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.0003479324612113364}",9080.0126953125
