Time: 2025-07-17 11:08:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:08:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:08:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.00%
Time: 2025-07-17 11:08:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:08:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 11:08:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:09:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:09:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:09:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:09:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:09:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:09:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:09:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.00%
Time: 2025-07-17 11:09:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:09:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:09:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 108.90%
Time: 2025-07-17 11:09:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:09:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:09:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:09:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:09:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:09:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:09:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:09:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:09:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:09:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:10:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:10:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:10:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:10:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 29.00%
Time: 2025-07-17 11:10:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 11:10:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 11:10:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:10:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
